,id,Sentence,Aspect Term,Polarity,Category
3182,3353,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",pizza,positive,Restaurant
5582,394,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Blue Fin Torro (Fatty Tuna),neutral,Restaurant
2101,2146,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",Screen,positive,Laptop
5120,600,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",table,negative,Restaurant
4772,1583,I LOVED THE SHOWS.,SHOWS,positive,Restaurant
1548,348,i love the size of the computer since i play games on it.,size,positive,Laptop
5223,116,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive,Restaurant
4734,896,Ummm...the beer was cold.,beer,positive,Restaurant
355,777,HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,negative,Laptop
5350,3558,"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",dishes,positive,Restaurant
6018,1536,Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,soup,positive,Restaurant
3454,3241,But the main hit was the whole grilled fish.,whole grilled fish,positive,Restaurant
5867,3677,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,cheese,positive,Restaurant
4308,3512,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",dish,neutral,Restaurant
2373,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,Restaurant
1051,2949,It discharges too quickly.,discharges,negative,Laptop
2321,2823,This is a great little computer for the price.,price,positive,Laptop
3944,2645,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",cost,positive,Restaurant
3686,3605,"Interesting selection, good wines, service fine, fun decor.",decor,positive,Restaurant
1751,1567,But other than that I am blown away by all the features this laptop offers.,features,positive,Laptop
3624,3599,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,negative,Restaurant
1772,1744,Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,software,positive,Laptop
1196,2936,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,word processer,positive,Laptop
1878,2873,"The price was very good, and the product is top quality.",quality,positive,Laptop
2016,1645,See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.,operating system,neutral,Laptop
2005,1480,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,positive,Laptop
4904,1454,"The only possible drawback to this last point is that as of the date of this posting, the additional menu items are only written in Chinese.",menu items,negative,Restaurant
1482,769,Asked the customer service rep.,customer service rep,neutral,Laptop
328,1770,"It has far exceeded my expectations for power, storage, and abilitiy.",power,positive,Laptop
648,3007,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,negative,Laptop
2488,2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,Restaurant
1123,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",buttons,negative,Laptop
2827,3578,"For the people who want great food plus great service, Roxy is a place to AVOID!",service,negative,Restaurant
3126,451,"Also, top the meal with a delicious and perfect slice of tiramisu.",meal,neutral,Restaurant
4058,162,Went on a double date with friend and his girlfriend for a few drinks and appetizers.,appetizers,neutral,Restaurant
2894,719,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",Asian appetizers,positive,Restaurant
2847,2479,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,service,positive,Restaurant
5061,3635,We would like to thank Marcelo and Grace for a wonderful dining experience!!!,dining,positive,Restaurant
1259,2596,This system came loaded with Windows 7 Starter.,Windows 7 Starter,neutral,Laptop
3095,2708,"The food is fresh, delicious, and reasonably priced.",priced,positive,Restaurant
3477,1429,Sauce was watery and the food didn't have much flavor.,flavor,negative,Restaurant
3435,1007,They don't walk around with the trays of Dim Sum.,trays of Dim Sum,neutral,Restaurant
1519,335,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",user interface,positive,Laptop
1378,154,"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming,positive,Laptop
4416,2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,positive,Restaurant
1023,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,positive,Laptop
2927,1784,"This is some really good, inexpensive sushi.",sushi,positive,Restaurant
5243,2909,skip dessert.,dessert,negative,Restaurant
4661,2405,Great food at reasonable prices.,food,positive,Restaurant
912,687,"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,positive,Laptop
4102,1114,From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.,staff,positive,Restaurant
1675,722,"Other installed features, such as certain printer software, are also most attractive.",printer software,positive,Laptop
1746,1716,There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,firewire cable system,negative,Laptop
3023,1989,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral,Restaurant
1736,1483,The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7,positive,Laptop
1629,577,It gives me the power and speed that I need to run all the programs I use to edit.,programs,neutral,Laptop
3939,750,The food was well prepared and the service impecable.,food,positive,Restaurant
430,1893,"Three weeks after I bought the netbook, the screen quit working.",screen,negative,Laptop
1808,1601,"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges,negative,Laptop
4844,2026,"Butter was melted, white wine warm, cheese oozing everywhere.",Butter,negative,Restaurant
3206,2276,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,neutral,Restaurant
3467,610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,positive,Restaurant
3547,1565,Don't waste money on decor.,decor,neutral,Restaurant
5415,3073,"Food was very good, but not what I would consider out of this world.",Food,positive,Restaurant
2222,1964,This computer was so challenging to carry and handle.,handle,negative,Laptop
3311,788,The website and rating makes this place look wonderful but in reality it was very disappointing.,place,conflict,Restaurant
4888,2555,"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",delivery time,negative,Restaurant
5395,3089,"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained.",portraits,positive,Restaurant
5075,2879,"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,positive,Restaurant
4624,1473,The pizza is overpriced and soggy.,pizza,negative,Restaurant
5368,611,Simple comfort food and what hot and lage portions.,comfort food,positive,Restaurant
1995,901,"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",warranty,neutral,Laptop
5792,938,"I found the food, service and value exceptional everytime I have been there.",service,positive,Restaurant
2224,2808,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,power,negative,Laptop
1106,1177,Take your time and go through the tutorials patiently.,tutorials,neutral,Laptop
5469,906,Since my first dinner I have had the chance to have brunch at Orsay 3x.,dinner,neutral,Restaurant
818,2747,"Plain and simple, it(laptop) runs great and loads fast.",loads,positive,Laptop
4119,211,Service and food is what any one would expect when spending that type of money.,food,neutral,Restaurant
4393,16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",manager,positive,Restaurant
1697,84,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",internet,neutral,Laptop
3541,2025,No free drink.,drink,neutral,Restaurant
136,1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,Laptop
5151,752,"I have been there many times, and food is good and consistent.",food,positive,Restaurant
5340,941,The service was excellent - friendly and attentive.,service,positive,Restaurant
5360,2968,"Nice ambiance, nice little bar, good bartender, Francois, and good service.",bar,positive,Restaurant
1180,2504,"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Features,neutral,Laptop
4652,519,"Great selection of wine, and seafood.",selection of wine,positive,Restaurant
888,7,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,positive,Laptop
2705,34,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",sangria,neutral,Restaurant
2437,3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,Restaurant
4556,3134,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.",people with carts of food,negative,Restaurant
4275,2219,The red sliding doors may be unique but they do not block off the cold air from the outside.,doors,conflict,Restaurant
817,2747,"Plain and simple, it(laptop) runs great and loads fast.",runs,positive,Laptop
1111,2336,"I bought a cordless mouse for it, but don't always take it out;",cordless mouse,positive,Laptop
3922,1879,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",waiting,negative,Restaurant
2341,1175,"The laptop is relatively simple to use, though I bought  Macs for Dummies,  which is well worth $2",use,positive,Laptop
4462,412,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,miso soup,negative,Restaurant
3830,2924,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",lemon salad,negative,Restaurant
1264,3,It's so nice to look at and the keys are easy to type with.,look,positive,Laptop
990,2154,The large screen also helps when you are working in design based programs like Adobe Creative Suite.,Adobe Creative Suite,neutral,Laptop
3296,2589,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,negative,Restaurant
1739,1658,"Garageband is more for the musicians, and the laptop is equipped with a good working microphone, good enough for beginners and musicians at the intermediate level.",Garageband,neutral,Laptop
2523,1909,The entire dining experience was wonderful!,dining experience,positive,Restaurant
353,1191,Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,Tech support,positive,Laptop
4609,2089,"Excellent dumplings served amid clean, chic decor.",dumplings,positive,Restaurant
2503,856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,Restaurant
4852,2011,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,choices per course,neutral,Restaurant
1489,2736,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",mouse,negative,Laptop
5319,3019,My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.,sushi bar,neutral,Restaurant
1228,2713,"The screen graphics and clarity, and sharpness are great.",clarity,positive,Laptop
3128,2817,"It's also attached to Angel's Share, which is a cool, more romantic bar...",bar,positive,Restaurant
5153,2897,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",food,negative,Restaurant
5728,3162,"Overall, the best bagel in town.",bagel,positive,Restaurant
5662,1416,Edible but really a ripoff at those prices given whats in the area.,prices,negative,Restaurant
52,1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,Laptop
4094,2137,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,positive,Restaurant
2794,2062,just got back from lunch at Tamarind and it was excellent.,lunch,positive,Restaurant
4022,655,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,positive,Restaurant
4370,3198,We had Pam's special fried fish and it was amazing.,Pam's special fried fish,positive,Restaurant
3720,991,"For the location, the prices are very reasonable.",location,neutral,Restaurant
1589,755,Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.,BIOS,negative,Laptop
1479,1925,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs,negative,Laptop
1469,486,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",bluetooth enabled,negative,Laptop
2829,2500,"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",menu,conflict,Restaurant
2571,1321,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,Restaurant
2078,634,I respond that I do not have the old computer and this way I would lose the data on my hard drive.,hard drive,negative,Laptop
3516,340,The rice was poor quality and was cooked so badly it was hard.,quality,negative,Restaurant
5962,151,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",decor,negative,Restaurant
2646,1624,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,Restaurant
436,3072,I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,neutral,Laptop
2937,3535,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",decor,positive,Restaurant
3958,2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,cheese,neutral,Restaurant
1588,1228,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,shipping,negative,Laptop
4453,1664,Service was slow had to wait to order and get food although not crowded.,food,neutral,Restaurant
1590,1947,I had 3 months when the ports started going out.,ports,negative,Laptop
3312,1780,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,negative,Restaurant
973,377,Awesome laptop and the perfect size to carry around in college.,size,positive,Laptop
1238,817,"  Also, the battery does not last very long at all.",battery,negative,Laptop
2342,1049,"Can't close the 2nd HDD bay since there are brackets you have to break off (even then, it still doesn't shut) That could be a major flaw for the dual HDD user.",HDD bay,negative,Laptop
2519,1798,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,Restaurant
3655,953,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",wait-staff,negative,Restaurant
5160,957,"The menu consisted of standard brassiere food, better then places like Balthazar etc.",menu,positive,Restaurant
2231,775,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,power supply,negative,Laptop
5705,3634,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,candles,positive,Restaurant
1497,113,"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.",display,negative,Laptop
449,2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,neutral,Laptop
2369,3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,Restaurant
3429,599,"Best Italian food I ever had (and being Italian, that means alot).",Italian food,positive,Restaurant
2422,863,The food was delicious but do not come here on a empty stomach.,food,conflict,Restaurant
5431,2590,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",ingrediants,positive,Restaurant
4032,2850,"The food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,positive,Restaurant
1551,2167,There are no viruses or spyware to worry about like on a Windows computer.,Windows,negative,Laptop
5362,2968,"Nice ambiance, nice little bar, good bartender, Francois, and good service.",service,positive,Restaurant
1146,2349,The LED backlit display makes my pictures pop so much more.,LED backlit display,positive,Laptop
3807,518,"A very inviting restaurant, with friendly service.",service,positive,Restaurant
2092,2585,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,keyboard,positive,Laptop
1313,162,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,positive,Laptop
2015,963,"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",casing,neutral,Laptop
4011,789,The menu is nothing like the one on the website.,menu,negative,Restaurant
2778,459,Fresh ingredients and everything is made to order.,ingredients,positive,Restaurant
4015,3148,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,negative,Restaurant
1381,1444,"Apparently there is a manufacturing defect, something with the amount of thermal paste.",thermal paste,negative,Laptop
3309,1663,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,negative,Restaurant
413,835,but it  has a major design flaw.,design,negative,Laptop
941,2531,Love the stability of the Mac software and operating system.,Mac software,positive,Laptop
801,2676,""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,negative,Laptop
2550,2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,Restaurant
5744,588,"The service was excellent, the food was excellent, but the entire experience was very cool.",food,positive,Restaurant
256,2185,"High price tag, however.",price tag,negative,Laptop
5936,1398,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",food,positive,Restaurant
2235,1492,"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,positive,Laptop
647,1252,Somehow the system clock got messed up after reboot.,system clock,negative,Laptop
1767,926,But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.,external drive,negative,Laptop
4140,2410,"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",delivery,negative,Restaurant
4936,3401,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",chicken,positive,Restaurant
3035,1577,I think the stuff was better than Disney.,stuff,positive,Restaurant
2677,1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,positive,Restaurant
24,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,Laptop
1088,2532,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,price,negative,Laptop
6004,3463,"I don't know about you guys, but when I go somewhere to eat I go for the food not for the atmosphere.",food,neutral,Restaurant
4786,1469,The pizza is yummy and I like the atmoshpere.,atmoshpere,positive,Restaurant
112,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,Laptop
2311,1485,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design,positive,Laptop
2820,791,The waiters were not attentive except that the bill turned up on the table before we were finished.,waiters,negative,Restaurant
56,997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,Laptop
1309,1332,"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,negative,Laptop
695,1398,although its windows vista compared to windows xp sucks.,windows xp,positive,Laptop
4401,2698,We were also seated promptly at the time of our reservation and the service was very quick and professional.,service,positive,Restaurant
1227,2713,"The screen graphics and clarity, and sharpness are great.",screen graphics,positive,Laptop
1999,2393,"I love the size, keyboard, the functions.",functions,positive,Laptop
276,4,I bought a protector for my key pad and it works great :),protector,neutral,Laptop
3825,131,Big Wong gets big Ups for a fine establishment.,establishment,positive,Restaurant
5755,1766,Food is excellent.,Food,positive,Restaurant
1833,2226,Now I have the best of both worlds with all of the power and ease of the Mac!,ease,positive,Laptop
682,314,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,negative,Laptop
3196,2329,The owner truly caters to all your needs.,owner,positive,Restaurant
4369,1329,"We had reservations at 9pm, but was not seated until 10:15pm.",reservations,negative,Restaurant
2917,2721,It's simply the best meal in NYC.,meal,positive,Restaurant
1137,1494,"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes,neutral,Laptop
5240,1723,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",mussels in spicy tomato sauce,positive,Restaurant
3529,1949,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",bar,neutral,Restaurant
3256,2120,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,positive,Restaurant
3488,428,"In an area sadly lacking in decent Thai food, this is one of the best spots.",Thai food,positive,Restaurant
4872,733,"In such a crappy part of town to find a good value for lunch, this place is great.",lunch,positive,Restaurant
1346,1738,"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",quad-core,neutral,Laptop
5058,2184,Their sake martini is wonderful.,sake martini,positive,Restaurant
5896,3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,sushi chef,positive,Restaurant
4086,2702,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",filet,positive,Restaurant
2384,3359,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,Restaurant
5263,307,This restaurant is a wonderful place to go many times and it is reasonably priced.,priced,positive,Restaurant
4211,1081,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",meal,neutral,Restaurant
6020,2403,I have to say that if this what makes it easier to get a saet a lunch- I dont mind.,lunch,neutral,Restaurant
3316,3352,brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,positive,Restaurant
3527,2433,There is also very limited seating and there can be a substantial wait in getting food at peak times.,wait,negative,Restaurant
3317,3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive,Restaurant
2618,887,What came to our table was burned beyond recognition and stringy.,table,neutral,Restaurant
3358,2041,The best thing I tasted were the lambchops.,lambchops,positive,Restaurant
5028,364,"After the main course came, we didn't see our waiter for at least 40 MINUTES!",waiter,negative,Restaurant
4966,2754,Price and quality of fish alone will keep us from making a return visit.,Price,negative,Restaurant
81,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,Laptop
1972,2603,"I am most impressed with the programming, including the iPhoto.",iPhoto,positive,Laptop
1714,1805,Good for every day computing and web browsing.,web browsing,positive,Laptop
3647,285,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions,negative,Restaurant
2842,1828,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",pie,positive,Restaurant
3689,1671,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,bar,neutral,Restaurant
1946,1817,"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,positive,Laptop
3381,3012,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",sushi,positive,Restaurant
3625,3599,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,negative,Restaurant
4397,2253,Try the green curry!!!,green curry,positive,Restaurant
1610,2859,"Some features arent friendly ( volume wheel, sound quality, etc.",features,negative,Laptop
3780,772,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,waiting,negative,Restaurant
2942,2449,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,meal,positive,Restaurant
3306,1032,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,positive,Restaurant
5913,687,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,positive,Restaurant
4663,1730,Salads are a delicious way to begin the meal.,Salads,positive,Restaurant
665,948,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,negative,Laptop
2194,2171,I can have both OSX and Windows XP running at the same time!,OSX,positive,Laptop
3800,663,The fried rice is really good too.,fried rice,positive,Restaurant
5140,1217,"Unlike HH up the block, this place actually gives you hearty and hot bagels this town is known for.",bagels,positive,Restaurant
1017,2250,iPhotos is an excellent program for storing and organizing photos.,program,positive,Laptop
557,1064,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,neutral,Laptop
3859,3334,Definite go if you're used to good Indian restaurant food from abroad.,Indian restaurant food,positive,Restaurant
4877,1951,"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",table,positive,Restaurant
1207,1987,"The cover for the DVD drive soon came off, too--a mark of poor construction quality.",cover for the DVD drive,negative,Laptop
4714,2240,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,positive,Restaurant
3077,2894,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive,Restaurant
1510,1322,"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",LG service center,negative,Laptop
5143,1028,What generous portions!,portions,positive,Restaurant
3755,3259,This isn't your corner Chinese food takeout.,Chinese food,neutral,Restaurant
5909,1980,"Tasty steak, pork loin, the works.",steak,positive,Restaurant
4475,3185,"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.",location,positive,Restaurant
266,2939,This laptop is a great price and has a sleek look.,look,positive,Laptop
5537,2261,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",Purple Haze,conflict,Restaurant
3412,3692,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",frying,negative,Restaurant
2111,2722,I'm really impressed with the quality and performance for the price of the computer.,quality,positive,Laptop
2996,3189,The location and ambience is Ok but the food is what makes up for it.,ambience,neutral,Restaurant
1909,578,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",Final Cut Pro,positive,Laptop
3161,1600,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",basil,positive,Restaurant
3977,2183,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",sesame chicken,positive,Restaurant
4025,132,"They have it all -- great price, food, and service.",price,positive,Restaurant
4271,3553,"we did notice however, that some tables had what looked like pita instead of naan.",naan,negative,Restaurant
5371,1643,"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",menu,neutral,Restaurant
5671,2207,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",tables,neutral,Restaurant
3882,2278,The menu choices are similar but the taste lacked more flavor than it looked.,taste,negative,Restaurant
1784,1112,"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows,negative,Laptop
1237,91,Later it held zero charge and its replacement worked for less than three months.,charge,negative,Laptop
5031,1385,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",Service,positive,Restaurant
5894,913,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,hall,negative,Restaurant
3941,2645,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,positive,Restaurant
4905,3543,"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral,Restaurant
